"ARGUMENTO","CDPRO","PARAMETRO"
"UI                            ",35517,"1042118"
"UI                            ",38003,"40000000"
"UI                            ",38158,"15000"
"UI                            ",38247,"758"
"UI                            ",38282,"5000"
"UI                            ",38285,"103375"
"UI                            ",38460,"100950"
"UI                            ",38573,"1000000"
"UI                            ",38930,"40000000"
"UI                            ",39328,"1000"
"UI                            ",39331,"47000"
"UI                            ",39398,"40000000"
"UI                            ",40280,"208000"
"UI                            ",40412,"14500000"
"UI                            ",41391,"1670000"
"UI                            ",41561,"1000"
"UI                            ",41612,"1000"
"UI                            ",41626,"43887"
"UI                            ",51070,"1667000"
"UI                            ",51962,"500"
"UI                            ",52670,"950000"
"UI                            ",52681,"1000000"
"UI                            ",54136,"220000"
"UI                            ",54781,"2497"
"UI                            ",54938,"680000"
"UI                            ",54987,"6028000"
"UI                            ",55451,"258900"
"UI                            ",55517,"502000"
"UI                            ",55580,"1000"
"UI                            ",55888,"6720000"
"UI                            ",57009,"350000"
"UI                            ",57058,"895000"
"UI                            ",57113,"1000000"
"UI                            ",57769,"1000000"
"UI                            ",57770,"500000"
"UI                            ",57794,"1000"
"UI                            ",57800,"1000"
"UI                            ",61438,"10000000"
"UI                            ",61451,"160000"
"UI                            ",62194,"52600"
"UI                            ",63370,"444.44444"
"UI                            ",63381,"300000"
"UI                            ",63459,"100000"
"UI                            ",69176,"20000"
"UTR                           ",26689,"350000"
"UTR                           ",51962,"500"
"UTR                           ",52681,"1000000"
"UTR                           ",54136,"220000"
"UTR                           ",57009,"350000"
"UTR                           ",63370,"444.44444"
"UTR                           ",63381,"300000"
